codigo_municipio,quantidade_escolas,pib_per_capita_medio,total_salas
3305505,10,722441.52,103.0
2929206,5,684319.23,40.0
3302700,31,679714.48,318.0
3536505,36,606740.73,384.0
3520400,6,424535.26,47.0
3527306,5,388732.46,45.0
3305000,5,382417.42,50.0
3125101,9,377790.63,107.0
2110302,2,362455.53,16.0
3161908,1,317824.61,5.0
3509205,15,312708.11,190.0
3300258,5,301277.15,66.0
4322004,1,275341.31,9.0
5103502,5,261696.26,36.0
2928901,4,259713.1,36.0
5106802,2,258304.14,8.0
3304151,1,253188.23,11.0
3524709,13,247373.54,128.0
3513504,19,247282.87,205.0
3505708,25,226391.22,253.0
3302254,4,226112.51,35.0
4101804,16,224671.66,195.0
3502754,3,224518.01,35.0
5107875,3,221470.66,30.0
4201307,2,218625.97,8.0
1502152,11,215643.17,201.0
3550704,22,213255.95,188.0
2911105,3,205989.92,39.0
2201150,1,200215.82,5.0
3501152,2,198774.29,23.0
3527603,2,194506.06,13.0
5205471,1,193162.87,16.0
3556701,20,192052.06,328.0
4208203,93,182522.93,750.0
2607208,12,181663.4,137.0
5107859,2,172659.3,17.0
5102637,2,172492.49,20.0
5108006,1,171709.64,15.0
2606200,25,171409.82,345.0
5216403,2,171201.43,14.0
3512407,3,170021.84,21.0
3203320,3,169391.53,44.0
2404507,4,168808.24,27.0
2211209,5,167688.99,52.0
3533601,2,167167.74,22.0
4312658,2,164932.37,27.0
3534401,178,163878.12,1827.0
5203203,1,162586.72,6.0
5103858,1,160370.44,11.0
4304358,2,158672.67,5.0
